Timestamp,EPC,Antenna,RSSI,Channel,Address
1560932096800462,E2000019510802051320B90E,2,-66.5,866.9,SpeedwayR-12-CB-07.local
1560932096803978,E2000019510802011320B0CC,2,-69.5,866.9,SpeedwayR-12-CB-07.local
1560932096837435,E2000019510802051320B90E,3,-72,866.9,SpeedwayR-12-CB-07.local
1560932096838930,E2000019510802091320B910,3,-71,866.9,SpeedwayR-12-CB-07.local
1560932096868672,E2000019510802091320B910,4,-69.5,866.9,SpeedwayR-12-CB-07.local
1560932096870087,E2000019510802051320B90E,4,-70,866.9,SpeedwayR-12-CB-07.local
1560932096872237,E2000019510802011320B0CC,4,-64.5,866.9,SpeedwayR-12-CB-07.local
1560932096903839,E2000019510802051320B90E,1,-67.5,866.9,SpeedwayR-12-CB-07.local
1560932096935200,E2000019510802011320B0CC,2,-68.5,866.9,SpeedwayR-12-CB-07.local
1560932096939028,E2000019510802051320B90E,2,-65.5,866.9,SpeedwayR-12-CB-07.local
1560932096969818,E2000019510802051320B90E,3,-71.5,866.9,SpeedwayR-12-CB-07.local
1560932096973561,E2000019510802091320B910,3,-71.5,866.9,SpeedwayR-12-CB-07.local
1560932096997906,E2000019510802051320B90E,4,-70,866.9,SpeedwayR-12-CB-07.local
1560932097001278,E2000019510802091320B910,4,-68.5,866.9,SpeedwayR-12-CB-07.local
1560932097002334,E2000019510802011320B0CC,4,-65,866.9,SpeedwayR-12-CB-07.local
1560932097033434,E2000019510802051320B90E,1,-67,866.9,SpeedwayR-12-CB-07.local
1560932097067824,E2000019510802051320B90E,2,-65.5,866.9,SpeedwayR-12-CB-07.local
1560932097069212,E2000019510802011320B0CC,2,-71,866.9,SpeedwayR-12-CB-07.local
1560932097100182,E2000019510802091320B910,3,-71.5,866.9,SpeedwayR-12-CB-07.local
1560932097101909,E2000019510802051320B90E,3,-71,866.9,SpeedwayR-12-CB-07.local
1560932097133184,E2000019510802091320B910,4,-69,866.9,SpeedwayR-12-CB-07.local
1560932097134271,E2000019510802011320B0CC,4,-65,866.9,SpeedwayR-12-CB-07.local
1560932097137306,E2000019510802051320B90E,4,-68.5,866.9,SpeedwayR-12-CB-07.local
1560932097169671,E2000019510802051320B90E,1,-67,866.9,SpeedwayR-12-CB-07.local
1560932097200171,E2000019510802051320B90E,2,-65,866.9,SpeedwayR-12-CB-07.local
