Timestamp,EPC,Antenna,RSSI,Channel,Address
1560957845552080,E2000019510802091320B910,4,-68.5,866.9,SpeedwayR-12-CB-07.local
1560957845555718,E2000019510802011320B0CC,4,-68.5,866.9,SpeedwayR-12-CB-07.local
1560957845576333,E200001951080047132014DB,4,-70.5,866.9,SpeedwayR-12-CB-07.local
1560957845599536,E200001951080047132014DB,1,-66,866.9,SpeedwayR-12-CB-07.local
1560957845631144,E200001951080047132014DB,2,-66.5,866.9,SpeedwayR-12-CB-07.local
1560957845632847,E2000019510802051320B90E,2,-67,866.9,SpeedwayR-12-CB-07.local
1560957845665737,E200001951080047132014DB,3,-67.5,866.9,SpeedwayR-12-CB-07.local
1560957845699404,E2000019510802091320B910,4,-67.5,866.9,SpeedwayR-12-CB-07.local
1560957845702593,E2000019510802011320B0CC,4,-68,866.9,SpeedwayR-12-CB-07.local
1560957845703895,E20000195108006813202666,4,-70.5,866.9,SpeedwayR-12-CB-07.local
1560957845734916,E200001951080047132014DB,1,-64,866.9,SpeedwayR-12-CB-07.local
1560957845737606,E20000195108006813202666,1,-69,866.9,SpeedwayR-12-CB-07.local
1560957845766563,E20000195108007213202668,2,-67,866.9,SpeedwayR-12-CB-07.local
1560957845770392,E2000019510802051320B90E,2,-69,866.9,SpeedwayR-12-CB-07.local
1560957845808420,E2000019510802011320B0CC,4,-69,866.9,SpeedwayR-12-CB-07.local
1560957845812050,E2000019510802091320B910,4,-69.5,866.9,SpeedwayR-12-CB-07.local
1560957845844370,E200001951080047132014DB,1,-66,866.9,SpeedwayR-12-CB-07.local
1560957845846276,E20000195108006813202666,1,-67.5,866.9,SpeedwayR-12-CB-07.local
1560957845880351,E2000019510802051320B90E,2,-69,866.9,SpeedwayR-12-CB-07.local
1560957845905814,E20000195108006813202666,2,-74.5,866.9,SpeedwayR-12-CB-07.local
1560957845920046,E20000195108007213202668,3,-67,866.9,SpeedwayR-12-CB-07.local
1560957845956068,E2000019510802091320B910,4,-69,866.9,SpeedwayR-12-CB-07.local
1560957845982366,E2000019510802051320B90E,1,-70,866.9,SpeedwayR-12-CB-07.local
1560957845985912,E200001951080047132014DB,1,-64,866.9,SpeedwayR-12-CB-07.local
1560957845999695,E20000195108006813202666,1,-74.5,866.9,SpeedwayR-12-CB-07.local
1560957846028056,E2000019510802051320B90E,2,-67,866.9,SpeedwayR-12-CB-07.local
1560957846051024,E20000195108006813202666,2,-73,866.9,SpeedwayR-12-CB-07.local
1560957846073513,E2000019510802091320B910,3,-69.5,866.9,SpeedwayR-12-CB-07.local
1560957846133741,E200001951080047132014DB,1,-66,866.9,SpeedwayR-12-CB-07.local
1560957846136250,E20000195108006813202666,1,-70,866.9,SpeedwayR-12-CB-07.local
1560957846168310,E2000019510802051320B90E,2,-70,866.9,SpeedwayR-12-CB-07.local
1560957846200761,E20000195108007213202668,3,-65.5,866.9,SpeedwayR-12-CB-07.local
1560957846201861,E2000019510802091320B910,3,-65.5,866.9,SpeedwayR-12-CB-07.local
1560957846261428,E20000195108006813202666,1,-65.5,866.9,SpeedwayR-12-CB-07.local
1560957846297793,E2000019510802051320B90E,2,-71.5,866.9,SpeedwayR-12-CB-07.local
1560957846328202,E2000019510802091320B910,3,-67,866.9,SpeedwayR-12-CB-07.local
1560957846359431,E2000019510802091320B910,4,-67.5,866.9,SpeedwayR-12-CB-07.local
1560957846390277,E20000195108006813202666,1,-65,866.9,SpeedwayR-12-CB-07.local
1560957846393955,E200001951080047132014DB,1,-67.5,866.9,SpeedwayR-12-CB-07.local
1560957846396254,E2000019510802051320B90E,1,-68.5,866.9,SpeedwayR-12-CB-07.local
1560957846428561,E2000019510802051320B90E,2,-70.5,866.9,SpeedwayR-12-CB-07.local
1560957846429672,E200001951080047132014DB,2,-68.5,866.9,SpeedwayR-12-CB-07.local
